,법정동코드,법정동명,폐지여부
63,1111016200,서울특별시 종로구 효제동,존재
64,1111016300,서울특별시 종로구 종로5가,존재
65,1111016400,서울특별시 종로구 종로6가,존재
66,1111016500,서울특별시 종로구 이화동,존재
67,1111016600,서울특별시 종로구 연건동,존재
68,1111016700,서울특별시 종로구 충신동,존재
69,1111016800,서울특별시 종로구 동숭동,존재
70,1111016900,서울특별시 종로구 혜화동,존재
71,1111017000,서울특별시 종로구 명륜1가,존재
72,1111017100,서울특별시 종로구 명륜2가,존재
73,1111017200,서울특별시 종로구 명륜4가,존재
74,1111017300,서울특별시 종로구 명륜3가,존재
75,1111017400,서울특별시 종로구 창신동,존재
76,1111017500,서울특별시 종로구 숭인동,존재
77,1111017600,서울특별시 종로구 교남동,존재
78,1111017700,서울특별시 종로구 평동,존재
79,1111017800,서울특별시 종로구 송월동,존재
80,1111017900,서울특별시 종로구 홍파동,존재
81,1111018000,서울특별시 종로구 교북동,존재
82,1111018100,서울특별시 종로구 행촌동,존재
83,1111018200,서울특별시 종로구 구기동,존재
84,1111018300,서울특별시 종로구 평창동,존재
85,1111018400,서울특별시 종로구 부암동,존재
86,1111018500,서울특별시 종로구 홍지동,존재
87,1111018600,서울특별시 종로구 신영동,존재
88,1111018700,서울특별시 종로구 무악동,존재
89,1111090100,서울특별시 종로구 창신1동,폐지
90,1111090200,서울특별시 종로구 창신2동,폐지
91,1111090300,서울특별시 종로구 창신3동,폐지
92,1111090400,서울특별시 종로구 숭인1동,폐지
93,1111090500,서울특별시 종로구 숭인2동,폐지
94,1114000000,서울특별시 중구,존재
95,1114000100,서울특별시 중구 동자동,폐지
96,1114000200,서울특별시 중구 도동1가,폐지
97,1114000300,서울특별시 중구 도동2가,폐지
98,1114000400,서울특별시 중구 양동,폐지
99,1114010100,서울특별시 중구 무교동,존재
100,1114010200,서울특별시 중구 다동,존재
101,1114010300,서울특별시 중구 태평로1가,존재
102,1114010400,서울특별시 중구 을지로1가,존재
103,1114010500,서울특별시 중구 을지로2가,존재
104,1114010600,서울특별시 중구 남대문로1가,존재
105,1114010700,서울특별시 중구 삼각동,존재
106,1114010800,서울특별시 중구 수하동,존재
107,1114010900,서울특별시 중구 장교동,존재
108,1114011000,서울특별시 중구 수표동,존재
109,1114011100,서울특별시 중구 소공동,존재
110,1114011200,서울특별시 중구 남창동,존재
111,1114011300,서울특별시 중구 북창동,존재
112,1114011400,서울특별시 중구 태평로2가,존재
113,1114011500,서울특별시 중구 남대문로2가,존재
114,1114011600,서울특별시 중구 남대문로3가,존재
115,1114011700,서울특별시 중구 남대문로4가,존재
116,1114011800,서울특별시 중구 남대문로5가,존재
117,1114011900,서울특별시 중구 봉래동1가,존재
118,1114012000,서울특별시 중구 봉래동2가,존재
119,1114012100,서울특별시 중구 회현동1가,존재
120,1114012200,서울특별시 중구 회현동2가,존재
121,1114012300,서울특별시 중구 회현동3가,존재
122,1114012400,서울특별시 중구 충무로1가,존재
123,1114012500,서울특별시 중구 충무로2가,존재
124,1114012600,서울특별시 중구 명동1가,존재
125,1114012700,서울특별시 중구 명동2가,존재
126,1114012800,서울특별시 중구 남산동1가,존재
127,1114012900,서울특별시 중구 남산동2가,존재
128,1114013000,서울특별시 중구 남산동3가,존재
129,1114013100,서울특별시 중구 저동1가,존재
130,1114013200,서울특별시 중구 충무로4가,존재
131,1114013300,서울특별시 중구 충무로5가,존재
132,1114013400,서울특별시 중구 인현동2가,존재
133,1114013500,서울특별시 중구 예관동,존재
134,1114013600,서울특별시 중구 묵정동,존재
135,1114013700,서울특별시 중구 필동1가,존재
136,1114013800,서울특별시 중구 필동2가,존재
137,1114013900,서울특별시 중구 필동3가,존재
138,1114014000,서울특별시 중구 남학동,존재
139,1114014100,서울특별시 중구 주자동,존재
140,1114014200,서울특별시 중구 예장동,존재
141,1114014300,서울특별시 중구 장충동1가,존재
142,1114014400,서울특별시 중구 장충동2가,존재
143,1114014500,서울특별시 중구 광희동1가,존재
144,1114014600,서울특별시 중구 광희동2가,존재
145,1114014700,서울특별시 중구 쌍림동,존재
146,1114014800,서울특별시 중구 을지로6가,존재
147,1114014900,서울특별시 중구 을지로7가,존재
148,1114015000,서울특별시 중구 을지로4가,존재
149,1114015100,서울특별시 중구 을지로5가,존재
150,1114015200,서울특별시 중구 주교동,존재
151,1114015300,서울특별시 중구 방산동,존재
152,1114015400,서울특별시 중구 오장동,존재
153,1114015500,서울특별시 중구 을지로3가,존재
154,1114015600,서울특별시 중구 입정동,존재
155,1114015700,서울특별시 중구 산림동,존재
156,1114015800,서울특별시 중구 충무로3가,존재
157,1114015900,서울특별시 중구 초동,존재
158,1114016000,서울특별시 중구 인현동1가,존재
159,1114016100,서울특별시 중구 저동2가,존재
160,1114016200,서울특별시 중구 신당동,존재
161,1114016300,서울특별시 중구 흥인동,존재
162,1114016400,서울특별시 중구 무학동,존재
163,1114016500,서울특별시 중구 황학동,존재
164,1114016600,서울특별시 중구 서소문동,존재
165,1114016700,서울특별시 중구 정동,존재
166,1114016800,서울특별시 중구 순화동,존재
167,1114016900,서울특별시 중구 의주로1가,존재
168,1114017000,서울특별시 중구 충정로1가,존재
169,1114017100,서울특별시 중구 중림동,존재
170,1114017200,서울특별시 중구 의주로2가,존재
171,1114017300,서울특별시 중구 만리동1가,존재
172,1114017400,서울특별시 중구 만리동2가,존재
173,1114090100,서울특별시 중구 신당1동,폐지
174,1114090200,서울특별시 중구 신당2동,폐지
175,1114090300,서울특별시 중구 신당3동,폐지
176,1114090400,서울특별시 중구 신당4동,폐지
177,1114090500,서울특별시 중구 신당5동,폐지
178,1114090600,서울특별시 중구 신당6동,폐지
179,1117000000,서울특별시 용산구,존재
180,1117000100,서울특별시 용산구 옥수동,폐지
181,1117000200,서울특별시 용산구 도동1가,폐지
182,1117000300,서울특별시 용산구 도동2가,폐지
183,1117000400,서울특별시 용산구 만리동1가,폐지
184,1117000500,서울특별시 용산구 만리동2가,폐지
185,1117010100,서울특별시 용산구 후암동,존재
186,1117010200,서울특별시 용산구 용산동2가,존재
187,1117010300,서울특별시 용산구 용산동4가,존재
188,1117010400,서울특별시 용산구 갈월동,존재
189,1117010500,서울특별시 용산구 남영동,존재
190,1117010600,서울특별시 용산구 용산동1가,존재
191,1117010700,서울특별시 용산구 동자동,존재
192,1117010800,서울특별시 용산구 서계동,존재
193,1117010900,서울특별시 용산구 청파동1가,존재
194,1117011000,서울특별시 용산구 청파동2가,존재
195,1117011100,서울특별시 용산구 청파동3가,존재
196,1117011200,서울특별시 용산구 원효로1가,존재
197,1117011300,서울특별시 용산구 원효로2가,존재
198,1117011400,서울특별시 용산구 신창동,존재
199,1117011500,서울특별시 용산구 산천동,존재
200,1117011600,서울특별시 용산구 청암동,존재
201,1117011700,서울특별시 용산구 원효로3가,존재
202,1117011800,서울특별시 용산구 원효로4가,존재
203,1117011900,서울특별시 용산구 효창동,존재
204,1117012000,서울특별시 용산구 도원동,존재
205,1117012100,서울특별시 용산구 용문동,존재
206,1117012200,서울특별시 용산구 문배동,존재
207,1117012300,서울특별시 용산구 신계동,존재
208,1117012400,서울특별시 용산구 한강로1가,존재
209,1117012500,서울특별시 용산구 한강로2가,존재
210,1117012600,서울특별시 용산구 용산동3가,존재
211,1117012700,서울특별시 용산구 용산동5가,존재
212,1117012800,서울특별시 용산구 한강로3가,존재
213,1117012900,서울특별시 용산구 이촌동,존재
214,1117013000,서울특별시 용산구 이태원동,존재
215,1117013100,서울특별시 용산구 한남동,존재
216,1117013200,서울특별시 용산구 동빙고동,존재
217,1117013300,서울특별시 용산구 서빙고동,존재
218,1117013400,서울특별시 용산구 주성동,존재
219,1117013500,서울특별시 용산구 용산동6가,존재
220,1117013600,서울특별시 용산구 보광동,존재
221,1117090100,서울특별시 용산구 청파1동,폐지
222,1117090200,서울특별시 용산구 청파2동,폐지
223,1117090300,서울특별시 용산구 이촌1동,폐지
224,1117090400,서울특별시 용산구 이촌2동,폐지
225,1117090500,서울특별시 용산구 이태원1동,폐지
226,1117090600,서울특별시 용산구 이태원2동,폐지
227,1117090700,서울특별시 용산구 한남1동,폐지
228,1117090800,서울특별시 용산구 한남2동,폐지
229,1120000000,서울특별시 성동구,존재
230,1120000100,서울특별시 성동구 상일동,폐지
231,1120000200,서울특별시 성동구 길동,폐지
232,1120000300,서울특별시 성동구 둔촌동,폐지
233,1120000400,서울특별시 성동구 암사동,폐지
234,1120000500,서울특별시 성동구 성내동,폐지
235,1120000600,서울특별시 성동구 풍납동,폐지
236,1120000700,서울특별시 성동구 천호동,폐지
237,1120000800,서울특별시 성동구 송파동,폐지
238,1120000900,서울특별시 성동구 석촌동,폐지
239,1120001000,서울특별시 성동구 삼전동,폐지
240,1120001100,서울특별시 성동구 가락동,폐지
241,1120001200,서울특별시 성동구 이동,폐지
242,1120001300,서울특별시 성동구 오금동,폐지
243,1120001400,서울특별시 성동구 방이동,폐지
244,1120001500,서울특별시 성동구 문정동,폐지
245,1120001600,서울특별시 성동구 장지동,폐지
246,1120001700,서울특별시 성동구 거여동,폐지
247,1120001800,서울특별시 성동구 마천동,폐지
248,1120001900,서울특별시 성동구 잠실동,폐지
249,1120002000,서울특별시 성동구 신천동,폐지
250,1120002100,서울특별시 성동구 일원동,폐지
251,1120002200,서울특별시 성동구 수서동,폐지
252,1120002300,서울특별시 성동구 자곡동,폐지
253,1120002400,서울특별시 성동구 율현동,폐지
254,1120002500,서울특별시 성동구 세곡동,폐지
255,1120002600,서울특별시 성동구 역삼동,폐지
256,1120002700,서울특별시 성동구 포이동,폐지
257,1120002800,서울특별시 성동구 개포동,폐지
258,1120002900,서울특별시 성동구 도곡동,폐지
259,1120003000,서울특별시 성동구 논현동,폐지
260,1120003100,서울특별시 성동구 신사동,폐지
261,1120003200,서울특별시 성동구 학동,폐지
262,1120003300,서울특별시 성동구 압구정동,폐지
263,1120003400,서울특별시 성동구 청담동,폐지
264,1120003500,서울특별시 성동구 삼성동,폐지
265,1120003600,서울특별시 성동구 대치동,폐지
266,1120003700,서울특별시 성동구 염곡동,폐지
267,1120003800,서울특별시 성동구 내곡동,폐지
268,1120003900,서울특별시 성동구 신원동,폐지
269,1120004000,서울특별시 성동구 반포동,폐지
270,1120004100,서울특별시 성동구 잠원동,폐지
271,1120004200,서울특별시 성동구 서초동,폐지
272,1120004300,서울특별시 성동구 양재동,폐지
273,1120004400,서울특별시 성동구 우면동,폐지
274,1120004500,서울특별시 성동구 원지동,폐지
275,1120004600,서울특별시 성동구 황학동,폐지
276,1120004700,서울특별시 성동구 무학동,폐지
277,1120004800,서울특별시 성동구 흥인동,폐지
278,1120004900,서울특별시 성동구 신당동,폐지
279,1120005000,서울특별시 성동구 용두동,폐지
280,1120005100,서울특별시 성동구 답십리동,폐지
281,1120005200,서울특별시 성동구 면목동,폐지
282,1120005300,서울특별시 성동구 금호동,폐지
283,1120005400,서울특별시 성동구 명일동,폐지
284,1120005500,서울특별시 성동구 하일동,폐지
285,1120005600,서울특별시 성동구 고덕동,폐지
286,1120010100,서울특별시 성동구 상왕십리동,존재
287,1120010200,서울특별시 성동구 하왕십리동,존재
288,1120010300,서울특별시 성동구 홍익동,존재
289,1120010400,서울특별시 성동구 도선동,존재
290,1120010500,서울특별시 성동구 마장동,존재
291,1120010600,서울특별시 성동구 사근동,존재
292,1120010700,서울특별시 성동구 행당동,존재
293,1120010800,서울특별시 성동구 응봉동,존재
294,1120010900,서울특별시 성동구 금호동1가,존재
295,1120011000,서울특별시 성동구 금호동2가,존재
296,1120011100,서울특별시 성동구 금호동3가,존재
297,1120011200,서울특별시 성동구 금호동4가,존재
298,1120011300,서울특별시 성동구 옥수동,존재
299,1120011400,서울특별시 성동구 성수동1가,존재
300,1120011500,서울특별시 성동구 성수동2가,존재
301,1120011600,서울특별시 성동구 화양동,폐지
302,1120011700,서울특별시 성동구 모진동,폐지
303,1120011800,서울특별시 성동구 송정동,존재
304,1120011900,서울특별시 성동구 군자동,폐지
305,1120012000,서울특별시 성동구 중곡동,폐지
306,1120012100,서울특별시 성동구 능동,폐지
307,1120012200,서울특별시 성동구 용답동,존재
308,1120012300,서울특별시 성동구 광장동,폐지
309,1120012400,서울특별시 성동구 구의동,폐지
310,1120012500,서울특별시 성동구 자양동,폐지
311,1120090100,서울특별시 성동구 왕십리1동,폐지
312,1120090200,서울특별시 성동구 왕십리2동,폐지
313,1120090300,서울특별시 성동구 행당1동,폐지
314,1120090400,서울특별시 성동구 행당2동,폐지
315,1120090500,서울특별시 성동구 중곡1동,폐지
316,1120090600,서울특별시 성동구 중곡2동,폐지
317,1120090700,서울특별시 성동구 중곡3동,폐지
318,1120090800,서울특별시 성동구 중곡4동,폐지
319,1120090900,서울특별시 성동구 옥수1동,폐지
320,1120091000,서울특별시 성동구 옥수2동,폐지
321,1120091100,서울특별시 성동구 성수1가1동,폐지
322,1120091200,서울특별시 성동구 성수1가2동,폐지
323,1120091300,서울특별시 성동구 성수2가1동,폐지
324,1120091400,서울특별시 성동구 성수2가2동,폐지
325,1120091500,서울특별시 성동구 성수2가3동,폐지
326,1120091600,서울특별시 성동구 성수2가4동,폐지
327,1120091700,서울특별시 성동구 자양1동,폐지
328,1120091800,서울특별시 성동구 자양2동,폐지
329,1120091900,서울특별시 성동구 자양3동,폐지
330,1120092000,서울특별시 성동구 구의1동,폐지
331,1120092100,서울특별시 성동구 구의2동,폐지
332,1121500000,서울특별시 광진구,존재
333,1121510100,서울특별시 광진구 중곡동,존재
334,1121510200,서울특별시 광진구 능동,존재
335,1121510300,서울특별시 광진구 구의동,존재
336,1121510400,서울특별시 광진구 광장동,존재
337,1121510500,서울특별시 광진구 자양동,존재
338,1121510600,서울특별시 광진구 노유동,폐지
339,1121510700,서울특별시 광진구 화양동,존재
340,1121510800,서울특별시 광진구 모진동,폐지
341,1121510900,서울특별시 광진구 군자동,존재
342,1123000000,서울특별시 동대문구,존재
343,1123000100,서울특별시 동대문구 면목동,폐지
344,1123000200,서울특별시 동대문구 상봉동,폐지
345,1123000300,서울특별시 동대문구 중화동,폐지
346,1123000400,서울특별시 동대문구 묵동,폐지
347,1123000500,서울특별시 동대문구 망우동,폐지
348,1123000600,서울특별시 동대문구 신내동,폐지
349,1123000700,서울특별시 동대문구 중곡동,폐지
350,1123000800,서울특별시 동대문구 능동,폐지
351,1123000900,서울특별시 동대문구 군자동,폐지
352,1123001000,서울특별시 동대문구 종암동,폐지
353,1123001100,서울특별시 동대문구 안암동4가,폐지
354,1123001200,서울특별시 동대문구 안암동5가,폐지
355,1123001300,서울특별시 동대문구 석관동,폐지
356,1123001400,서울특별시 동대문구 보문동1가,폐지
357,1123001500,서울특별시 동대문구 보문동2가,폐지
358,1123001600,서울특별시 동대문구 보문동3가,폐지
359,1123001700,서울특별시 동대문구 보문동4가,폐지
360,1123001800,서울특별시 동대문구 보문동5가,폐지
361,1123001900,서울특별시 동대문구 보문동6가,폐지
362,1123002000,서울특별시 동대문구 보문동7가,폐지
363,1123002100,서울특별시 동대문구 창신동,폐지
364,1123002200,서울특별시 동대문구 숭인동,폐지
365,1123010100,서울특별시 동대문구 신설동,존재
366,1123010200,서울특별시 동대문구 용두동,존재
367,1123010300,서울특별시 동대문구 제기동,존재
368,1123010400,서울특별시 동대문구 전농동,존재
369,1123010500,서울특별시 동대문구 답십리동,존재
370,1123010600,서울특별시 동대문구 장안동,존재
371,1123010700,서울특별시 동대문구 청량리동,존재
372,1123010800,서울특별시 동대문구 회기동,존재
373,1123010900,서울특별시 동대문구 휘경동,존재
374,1123011000,서울특별시 동대문구 이문동,존재
375,1123090100,서울특별시 동대문구 용두1동,폐지
376,1123090200,서울특별시 동대문구 용두2동,폐지
377,1123090300,서울특별시 동대문구 제기1동,폐지
378,1123090400,서울특별시 동대문구 제기2동,폐지
379,1123090500,서울특별시 동대문구 전농1동,폐지
380,1123090600,서울특별시 동대문구 전농2동,폐지
381,1123090700,서울특별시 동대문구 전농3동,폐지
382,1123090800,서울특별시 동대문구 전농4동,폐지
383,1123090900,서울특별시 동대문구 답십리1동,폐지
384,1123091000,서울특별시 동대문구 답십리2동,폐지
385,1123091100,서울특별시 동대문구 답십리3동,폐지
386,1123091200,서울특별시 동대문구 답십리4동,폐지
387,1123091300,서울특별시 동대문구 답십리5동,폐지
388,1123091400,서울특별시 동대문구 장안1동,폐지
389,1123091500,서울특별시 동대문구 장안2동,폐지
390,1123091600,서울특별시 동대문구 장안3동,폐지
391,1123091700,서울특별시 동대문구 장안4동,폐지
392,1123091800,서울특별시 동대문구 청량리1동,폐지
393,1123091900,서울특별시 동대문구 청량리2동,폐지
394,1123092000,서울특별시 동대문구 휘경1동,폐지
395,1123092100,서울특별시 동대문구 휘경2동,폐지
396,1123092200,서울특별시 동대문구 이문1동,폐지
397,1123092300,서울특별시 동대문구 이문2동,폐지
398,1123092400,서울특별시 동대문구 이문3동,폐지
399,1126000000,서울특별시 중랑구,존재
400,1126010100,서울특별시 중랑구 면목동,존재
401,1126010200,서울특별시 중랑구 상봉동,존재
402,1126010300,서울특별시 중랑구 중화동,존재
403,1126010400,서울특별시 중랑구 묵동,존재
404,1126010500,서울특별시 중랑구 망우동,존재
405,1126010600,서울특별시 중랑구 신내동,존재
406,1126090100,서울특별시 중랑구 면목1동,폐지
407,1126090200,서울특별시 중랑구 면목2동,폐지
408,1126090300,서울특별시 중랑구 면목3동,폐지
409,1126090400,서울특별시 중랑구 면목4동,폐지
410,1126090500,서울특별시 중랑구 면목5동,폐지
411,1126090600,서울특별시 중랑구 면목6동,폐지
412,1126090700,서울특별시 중랑구 면목7동,폐지
413,1126090800,서울특별시 중랑구 상봉1동,폐지
414,1126090900,서울특별시 중랑구 상봉2동,폐지
415,1126091000,서울특별시 중랑구 중화1동,폐지
416,1126091100,서울특별시 중랑구 중화2동,폐지
417,1126091200,서울특별시 중랑구 묵1동,폐지
418,1126091300,서울특별시 중랑구 묵2동,폐지
419,1126091400,서울특별시 중랑구 망우1동,폐지
420,1126091500,서울특별시 중랑구 망우2동,폐지
421,1126091600,서울특별시 중랑구 망우3동,폐지
422,1129000000,서울특별시 성북구,존재
423,1129000100,서울특별시 성북구 미아동,폐지
424,1129000200,서울특별시 성북구 번동,폐지
425,1129000300,서울특별시 성북구 수유동,폐지
426,1129000400,서울특별시 성북구 우이동,폐지
427,1129000500,서울특별시 성북구 창동,폐지
428,1129000600,서울특별시 성북구 월계동,폐지
429,1129000700,서울특별시 성북구 쌍문동,폐지
430,1129000800,서울특별시 성북구 공릉동,폐지
431,1129000900,서울특별시 성북구 하계동,폐지
432,1129001000,서울특별시 성북구 상계동,폐지
433,1129001100,서울특별시 성북구 중계동,폐지
434,1129001200,서울특별시 성북구 도봉동,폐지
435,1129001300,서울특별시 성북구 방학동,폐지
436,1129001400,서울특별시 성북구 성북동2가,폐지
437,1129001500,서울특별시 성북구 동소문동8가,폐지
438,1129010100,서울특별시 성북구 성북동,존재
439,1129010200,서울특별시 성북구 성북동1가,존재
440,1129010300,서울특별시 성북구 돈암동,존재
441,1129010400,서울특별시 성북구 동소문동1가,존재
442,1129010500,서울특별시 성북구 동소문동2가,존재
443,1129010600,서울특별시 성북구 동소문동3가,존재
444,1129010700,서울특별시 성북구 동소문동4가,존재
445,1129010800,서울특별시 성북구 동소문동5가,존재
446,1129010900,서울특별시 성북구 동소문동6가,존재
447,1129011000,서울특별시 성북구 동소문동7가,존재
448,1129011100,서울특별시 성북구 삼선동1가,존재
449,1129011200,서울특별시 성북구 삼선동2가,존재
450,1129011300,서울특별시 성북구 삼선동3가,존재
451,1129011400,서울특별시 성북구 삼선동4가,존재
452,1129011500,서울특별시 성북구 삼선동5가,존재
453,1129011600,서울특별시 성북구 동선동1가,존재
454,1129011700,서울특별시 성북구 동선동2가,존재
455,1129011800,서울특별시 성북구 동선동3가,존재
456,1129011900,서울특별시 성북구 동선동4가,존재
457,1129012000,서울특별시 성북구 동선동5가,존재
458,1129012100,서울특별시 성북구 안암동1가,존재
459,1129012200,서울특별시 성북구 안암동2가,존재
460,1129012300,서울특별시 성북구 안암동3가,존재
461,1129012400,서울특별시 성북구 안암동4가,존재
462,1129012500,서울특별시 성북구 안암동5가,존재
463,1129012600,서울특별시 성북구 보문동4가,존재
464,1129012700,서울특별시 성북구 보문동5가,존재
465,1129012800,서울특별시 성북구 보문동6가,존재
466,1129012900,서울특별시 성북구 보문동7가,존재
467,1129013000,서울특별시 성북구 보문동1가,존재
468,1129013100,서울특별시 성북구 보문동2가,존재
469,1129013200,서울특별시 성북구 보문동3가,존재
470,1129013300,서울특별시 성북구 정릉동,존재
471,1129013400,서울특별시 성북구 길음동,존재
472,1129013500,서울특별시 성북구 종암동,존재
473,1129013600,서울특별시 성북구 하월곡동,존재
474,1129013700,서울특별시 성북구 상월곡동,존재
475,1129013800,서울특별시 성북구 장위동,존재
476,1129013900,서울특별시 성북구 석관동,존재
477,1129090100,서울특별시 성북구 성북1동,폐지
478,1129090200,서울특별시 성북구 성북2동,폐지
479,1129090300,서울특별시 성북구 삼선1동,폐지
480,1129090400,서울특별시 성북구 삼선2동,폐지
481,1129090500,서울특별시 성북구 동선1동,폐지
482,1129090600,서울특별시 성북구 동선2동,폐지
483,1129090700,서울특별시 성북구 돈암1동,폐지
484,1129090800,서울특별시 성북구 돈암2동,폐지
485,1129090900,서울특별시 성북구 정릉1동,폐지
486,1129091000,서울특별시 성북구 정릉2동,폐지
487,1129091100,서울특별시 성북구 정릉3동,폐지
488,1129091200,서울특별시 성북구 정릉4동,폐지
489,1129091300,서울특별시 성북구 길음1동,폐지
490,1129091400,서울특별시 성북구 길음2동,폐지
491,1129091500,서울특별시 성북구 길음3동,폐지
492,1129091600,서울특별시 성북구 종암1동,폐지
493,1129091700,서울특별시 성북구 종암2동,폐지
494,1129091800,서울특별시 성북구 하월곡1동,폐지
495,1129091900,서울특별시 성북구 하월곡2동,폐지
496,1129092000,서울특별시 성북구 하월곡3동,폐지
497,1129092100,서울특별시 성북구 하월곡4동,폐지
498,1129092200,서울특별시 성북구 장위1동,폐지
499,1129092300,서울특별시 성북구 장위2동,폐지
500,1129092400,서울특별시 성북구 장위3동,폐지
501,1129092500,서울특별시 성북구 석관1동,폐지
502,1129092600,서울특별시 성북구 석관2동,폐지
503,1130500000,서울특별시 강북구,존재
504,1130510100,서울특별시 강북구 미아동,존재
505,1130510200,서울특별시 강북구 번동,존재
506,1130510300,서울특별시 강북구 수유동,존재
507,1130510400,서울특별시 강북구 우이동,존재
508,1132000000,서울특별시 도봉구,존재
509,1132000300,서울특별시 도봉구 상계동,폐지
510,1132000400,서울특별시 도봉구 중계동,폐지
511,1132000500,서울특별시 도봉구 하계동,폐지
512,1132000600,서울특별시 도봉구 월계동,폐지
513,1132000700,서울특별시 도봉구 공릉동,폐지
514,1132010100,서울특별시 도봉구 미아동,폐지
515,1132010200,서울특별시 도봉구 번동,폐지
516,1132010300,서울특별시 도봉구 수유동,폐지
517,1132010400,서울특별시 도봉구 우이동,폐지
518,1132010500,서울특별시 도봉구 쌍문동,존재
519,1132010600,서울특별시 도봉구 방학동,존재
520,1132010700,서울특별시 도봉구 창동,존재
521,1132010800,서울특별시 도봉구 도봉동,존재
522,1132090100,서울특별시 도봉구 창1동,폐지
523,1132090200,서울특별시 도봉구 창2동,폐지
524,1132090300,서울특별시 도봉구 창3동,폐지
525,1132090400,서울특별시 도봉구 도봉1동,폐지
526,1132090500,서울특별시 도봉구 도봉2동,폐지
527,1132090600,서울특별시 도봉구 미아1동,폐지
528,1132090700,서울특별시 도봉구 미아2동,폐지
529,1132090800,서울특별시 도봉구 미아3동,폐지
530,1132090900,서울특별시 도봉구 미아4동,폐지
531,1132091000,서울특별시 도봉구 미아5동,폐지
532,1132091100,서울특별시 도봉구 미아6동,폐지
533,1132091200,서울특별시 도봉구 미아7동,폐지
534,1132091300,서울특별시 도봉구 미아8동,폐지
535,1132091400,서울특별시 도봉구 번1동,폐지
536,1132091500,서울특별시 도봉구 번2동,폐지
537,1132091600,서울특별시 도봉구 수유1동,폐지
538,1132091700,서울특별시 도봉구 수유2동,폐지
539,1132091800,서울특별시 도봉구 수유3동,폐지
540,1132091900,서울특별시 도봉구 수유4동,폐지
541,1132092000,서울특별시 도봉구 수유5동,폐지
542,1132092100,서울특별시 도봉구 쌍문1동,폐지
543,1132092200,서울특별시 도봉구 쌍문2동,폐지
544,1132092300,서울특별시 도봉구 쌍문3동,폐지
545,1132092400,서울특별시 도봉구 방학1동,폐지
546,1132092500,서울특별시 도봉구 방학2동,폐지
547,1132092600,서울특별시 도봉구 방학3동,폐지
548,1135000000,서울특별시 노원구,존재
549,1135010100,서울특별시 노원구 창동,폐지
